Time (h),Temperature1 (degC), Temperature2 (degC), Temperature3 (degC), Temperature4 (degC), Temperature5 (degC), Temperature6 (degC), Temperature7 (degC), Temperature8 (degC), Temperature9 (degC), Temperature10 (degC), Temperature11 (degC), Temperature12 (degC), Temperature13 (degC), 
1244,22.17981715373037,22.859144985744024,24.76326911707838,24.25343137804805,24.826891326243867,24.48536657570361,22.421930808280706,21.96703646309004,24.65326725173088,25.65468111355233,25.727460711366973,26.460887880586426,22.94699350430693,23.02803942426931
1245,22.183256513990727,22.862741589649488,24.766598671744987,24.257095575359415,24.830387113048232,24.488999280465748,22.4259906485521,21.970664128114663,24.654252735749708,25.658187423695665,25.73091770517641,26.46435835207882,22.95078527313177,23.031732049297887
1246,22.186695874251086,22.866338193554952,24.76992822641165,24.260759772670838,24.83388289985254,24.492631985227888,22.43005048882344,21.97429179313923,24.655238219768535,25.66169373383906,25.734374698985846,26.467828823571153,22.954577041956554,23.035424674326464
1247,22.190135234511445,22.869934797460473,24.773257781078257,24.26442396998226,24.837378686656905,24.49626468998997,22.434110329094835,21.97791945816391,24.65622370378736,25.665200043982395,25.737831692795282,26.471299295063545,22.958368810781337,23.039117299355098
1248,22.19357459477186,22.87353140136588,24.776587335744864,24.268088167293627,24.840874473461213,24.49989739475211,22.438170169366174,21.981547123188477,24.657209187806245,25.66870635412573,25.74128868660472,26.474769766555937,22.96216057960612,23.042809924383732
1249,22.19701395503222,22.877128005271345,24.77991689041147,24.27175236460505,24.84437026026552,24.50353009951425,22.442230009637512,21.9851747882131,24.658194671825072,25.672212664269125,25.744745680414155,26.478240238048272,22.96595234843096,23.04650254941231
1250,22.200453315292577,22.880724609176866,24.783246445078134,24.275416561916416,24.847866047069886,24.507162804276334,22.44628984990885,21.988802453237668,24.6591801558439,25.67571897441246,25.74820267422359,26.481710709540664,22.9697441172558,23.050195174440944
1251,22.203892675552993,22.88432121308233,24.78657599974474,24.27908075922784,24.85136183387425,24.510795509038473,22.450349690180246,21.992430118262348,24.660165639862726,25.679225284555855,25.751659668033085,26.485181181033056,22.973535886080583,23.053887799469578
1252,22.20733203581335,22.887917816987795,24.789905554411348,24.282744956539204,24.854857620678615,24.514428213800613,22.454409530451585,21.996057783286915,24.661151123881552,25.68273159469919,25.75511666184252,26.488651652525448,22.977327654905366,23.057580424498155
1253,22.21077139607371,22.89151442089326,24.79323510907801,24.286409153850627,24.858353407482923,24.518060918562753,22.45846937072298,21.99968544831154,24.662136607900436,25.686237904842585,25.758573655651958,26.492122124017783,22.98111942373015,23.061273049526733
